K,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,1050,1100,1150
0.001,1645.675,1522.023,1418.436,1322.153,1247.603,1181.76,1126.345,1068.282,1020.109,966.558,926.238,900.218,883.914,857.634,842.537,820.134,790.77,754.3,722.533,705.321,704.763,708.943
0.005,1122.971,691.456,452.731,337.007,271.02,227.63,200.901,180.637,171.221,162.174,161.464,156.047,157.998,158.459,159.1,160.766,159.395,164.233,175.775,178.466,176.498,173.637
0.01,2772.478,1747.502,1073.855,673.656,442.891,321.773,246.026,196.994,165.786,143.786,133.981,123.895,123.023,117.813,120.663,121.044,123.082,125.666,124.242,131.37,143.774,146.204
0.05,5398.532,3658.426,2397.973,1521.363,954.517,611.293,413.313,302.1,229.844,184.206,154.79,134.321,121.256,114.909,111.152,108.019,109.761,115.555,115.776,113.947,116.131,128.134
0.1,5824.411,3983.493,2632.708,1684.432,1055.791,673.748,448.21,322.887,243.733,192.436,158.83,136.782,126.177,116.067,113.594,108.746,111.634,112.503,114.32,115.82,115.604,125.23
0.5,6178.603,4257.342,2832.224,1824.352,1144.804,729.297,479.194,341.416,255.548,200.31,164.666,139.999,127.281,117.209,114.648,109.81,111.246,111.569,113.758,117.46,113.995,122.147
1,6223.677,4292.405,2857.878,1842.494,1156.488,736.433,483.286,343.631,256.945,201.352,165.391,140.662,127.404,117.242,114.813,109.823,111.098,111.378,113.763,117.567,113.827,121.851
5,6259.73,4320.484,2878.43,1856.982,1165.887,742.223,486.527,345.407,258.126,202.137,166.017,141.232,127.54,117.268,114.972,109.859,111.003,111.247,113.785,117.597,113.708,121.629
10,6264.08,4323.874,2880.913,1858.731,1167.019,742.926,486.923,345.626,258.272,202.235,166.095,141.303,127.558,117.274,114.993,109.865,110.992,111.232,113.789,117.584,113.694,121.603
15,6265.417,4324.916,2881.676,1859.269,1167.368,743.143,487.045,345.693,258.318,202.265,166.119,141.325,127.564,117.275,115,109.867,110.989,111.228,113.79,117.58,113.69,121.595
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MINIMUM,108.019,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,K = 0.05,Tb = 850,,,,,,,,,,,,,
